index,taskId,taskName,score,performanceClass,startedAt,OTR/acc,avgTimeOn/rt,avgTimeOff/targets,maxTimeOn/shots,maxTimeOff/kps,miss/killTotal,participantId,category
11,12,switchtrack,72477,TrackData,2024-04-11T13:48:06,32,148.774216,272,312.193451,880.000366,2002,1,MK
13,14,strafetrack,61416,TrackData,2024-04-11T13:50:30,50,232.520355,1336.00122,230.774139,776.0001,2598,1,MK
14,15,microshot,61728,SparData,2024-04-11T13:52:38,84.97409,362.7176379,164,193,2.7374692,164,1,MK
15,16,gridshot,61090,SparData,2024-04-11T13:55:05,85.39823,303.5931755,196,226,3.22172713,193,1,MK
17,18,microshot,13204,SparData,2024-04-11T14:00:01,88.46153,1133.388019,52,52,0.7677937,46,1,CW
18,19,strafetrack,22381,TrackData,2024-04-11T14:01:53,27.0000019,153.28,1336.00122,410.159943,1976.00256,4224,1,CW
19,20,switchtrack,21311,TrackData,2024-04-11T14:03:03,15.000001,91.51649,287.999969,542.5053,4351.97266,5172,1,CW
20,21,gridshot,18982,SparData,2024-04-11T14:04:12,91.13924,809.294189,75,79,1.20183027,72,1,CW
21,22,strafetrack,17599,TrackData,2024-04-11T14:07:18,23,155.858826,1168.001,508.1412,2056.002,4427,1,CWO
22,23,microshot,10606,SparData,2024-04-11T14:08:30,78,1183.641089,50,50,0.6509705,39,1,CWO
23,24,gridshot,11714,SparData,2024-04-11T14:09:47,87.27273,1220.849422,51,55,0.8012057,48,1,CWO
24,25,switchtrack,16126,TrackData,2024-04-11T14:11:00,13,86.8860855,232.000031,636.152039,2711.99341,4570,1,CWO
